symbol,ann_returns,ann_vol,ann_daily_variation,ann_max_drawdown,sharpe_ratio,beta,clusters
EFX,0.02876697294494579,0.14430427572181082,0.19894579136876686,0.3315932055832416,0.4755491300227891,0.4349844732560249,2
EIX,0.018519348557896415,0.17319449370903672,0.2153502195948627,0.371843606889647,0.4360711852828264,0.19283688045265815,2
EL,0.15073277623862438,0.13292557179613995,0.19162129899951288,0.1547810516280605,0.8685530952147592,0.4369450245301899,0
ELV,0.11373573176376495,0.13218806883815287,0.23356485032067473,0.19340810949640597,0.748757881741464,0.3712848048665236,0
EMN,0.049146502511928175,0.12502189234371308,0.21847767927190656,0.38879388144665183,0.40653858010214916,0.624773454289811,2
EMR,0.04833095275924365,0.09787152192321846,0.18268438146082794,0.23341896776761134,0.5766389583971089,0.5420622704000129,2
ENPH,1.0,0.8650898192838063,1.0000000000000002,0.6333322231094264,0.9542815029536843,0.3813659368008449,1
EOG,0.03003929083573237,0.19794858318384434,0.2846438750709427,0.48765915117775804,0.30338581847657686,0.5370610751759621,1
EPAM,0.19208581110536446,0.1790893582877056,0.2681914253485318,0.20293387351339864,0.9050589338655026,0.5963980850254464,0
EQIX,0.07014142626740202,0.09545749085595423,0.21444781746545757,0.239686656161828,0.673403724832048,0.2282647073014684,0
EQR,0.05148884652438121,0.021587155547479864,0.15297631988855548,0.14071964872412554,0.610641433435361,0.15276545127034052,0
EQT,0.005396703774103451,0.36829905862332013,0.4702481624096545,0.7895022753858186,0.05943668322277751,0.5727029703905693,1
ES,0.06757567273133988,0.012431392499259147,0.13699698913803343,0.10317743104388225,0.760384542190149,0.10627952276875435,0
ESS,0.055788996989348055,0.040184685505647605,0.1697521001915468,0.1073471258055127,0.6093549726391854,0.1856593913814249,0
ETN,0.05127163256160319,0.08643921439599456,0.17947576939012935,0.20895870204930633,0.6009794685448002,0.5324325101652084,0
ETR,0.08209826060724437,0.02171013145183215,0.14691932331975233,0.09133233007927438,0.8310514898640862,0.10840974313462398,0
ETSY,0.33497569056376175,0.4776627972150531,0.5043596752738676,0.4141192236617791,0.7233387929922932,0.772632350375529,1
EVRG,0.03112367218403686,0.020270939755957618,0.1395342781427893,0.06488262621837756,0.5199070707772245,0.09313504372254378,0
EW,0.1361954147192225,0.17229854204872203,0.24072729457251382,0.13120772454827478,0.7627858523393578,0.4615229672225221,0
EXC,0.05577233548571814,0.022895523747768876,0.15660411988826353,0.07400157712089397,0.6295540076135661,0.16493481917427882,0
EXPD,0.054562982107746544,0.09564489819606964,0.19918212546135775,0.11495071478956329,0.600492506491634,0.44880539981194545,0
EXPE,0.042502098517823494,0.2159793414578815,0.23771436519213576,0.3554332163590469,0.3815360622983706,0.37695537319206207,2
EXR,0.07231658955121509,0.06381327504455864,0.190643901992167,0.08953821067647949,0.6352802236714501,0.09141934058432932,0
F,0.011845236108909779,0.13988208309297662,0.21611829409264047,0.3425179321503241,0.3053706375854475,0.4627847097943115,2
FANG,0.03623203368519523,0.2850458439105116,0.369884553507732,0.43964246071702806,0.36084552637245026,0.5775400519511331,1
FAST,0.07078112002359374,0.17075835069197776,0.25104228510044535,0.15797358668542194,0.6036049804112387,0.5814927545944514,0
FCX,0.044915366475419355,0.36241770135963225,0.4276009194916559,0.5555874259006596,0.38461889706068164,0.7370577183014755,1
FDS,0.08274906741150825,0.09032529909698289,0.19049744450526132,0.15681608545895925,0.6621655507331582,0.43025315296153177,0
FDX,0.047112166211122436,0.16730404065648485,0.21551796488852928,0.4618452242259188,0.2954742825806135,0.5957836812561085,1
FE,0.0745726128583298,0.050834912545018734,0.17264338561709955,0.08562621238929444,0.7301478547514755,0.16492375408755866,0
FFIV,0.038065005483151254,0.14295709077644408,0.22417784235312802,0.34956582560366345,0.35072755431516023,0.4914257235177789,2
FICO,0.17761199522247337,0.1482803557326544,0.23765433726760757,0.23036865092556874,0.9176285288103408,0.49501373632126533,0
FIS,0.08287913011000994,0.047425772104380315,0.14850004350486717,0.05020941449170788,0.7883818206992383,0.35868855641498065,0
FISV,0.1066186411198019,0.07160664848785678,0.16973813684276706,0.08704640469997704,0.8401764131143822,0.43438384587089307,0
FITB,0.03119292124307213,0.13207796675731692,0.2385780508409728,0.2947614692023804,0.46627145205533316,0.46496322747795915,2
FLT,0.10277365702864258,0.15064112408509533,0.2343285576909717,0.1654151016620069,0.6970200349719482,0.4190681261251033,0
FMC,0.10214584522652648,0.1593274097739581,0.23349865900339264,0.2260526510082544,0.7066204105663412,0.48432014282009683,0
FRC,0.030970305454393277,0.1073626705035503,0.19718642527294808,0.1808671394288046,0.5040162299640756,0.4464390530187475,2
FRT,0.00823307807859558,0.050403619476624,0.1728994315790785,0.1684864844070867,0.33141714584962556,0.20717393521691982,2
FSLR,0.11752251095132701,0.34396985099165434,0.4257495471284407,0.5108199948301424,0.5509190593458136,0.5888889099104125,1
FTNT,0.2090244061063428,0.22854240738486725,0.29258712309094925,0.23580204228951618,0.875805269461423,0.4905094830472395,0
FTV,0.06478864391872344,0.08354987713343581,0.17711979411436635,0.22081650251832075,0.581376798018252,0.4978119400358611,2
GD,0.03439838407904949,0.07531425253880825,0.16709729293097833,0.301438858118756,0.40919456467552673,0.39436148673054977,2
GE,0.0004889850453689282,0.27450137822971493,0.3156469828004348,0.8006785487238487,0.08832500226223605,0.6016721189380885,1
GEN,0.04335897519223317,0.29038947074647725,0.2672701871086446,0.4519113098074595,0.42943870121405003,0.5264798537540518,1
GILD,0.024123758888910135,0.12515997592813166,0.22533929879817996,0.24331584096859904,0.34729435336205905,0.3935662141729863,2
GIS,0.0031534508048200738,0.09603605119523584,0.18808609482129582,0.33864039203801133,0.32445132720727476,0.19936094722219821,2
GL,0.04725166065490183,0.0368753784046138,0.13847768826924756,0.17625887588898903,0.6203760004133498,0.4038318897917857,0
GLW,0.0536524048480809,0.15047953405688547,0.19585729851407632,0.1737688198037281,0.49463688068538353,0.5508272371110904,2
GM,0.0368685761642471,0.16196703345959723,0.23118097028397258,0.2665462378093477,0.4393479849560804,0.4838182047579198,2
GNRC,0.12558854563742175,0.17601200032916653,0.273123686662763,0.17041603548804862,0.759074696859198,0.4622017825484058,0
GOOG,0.07058899578739644,0.12236211848636286,0.1811196127680009,0.16609989245694734,0.6475576745252525,0.5270005443388678,0
GOOGL,0.06667026413126023,0.12018539353072688,0.1855998563395543,0.1704164875793645,0.6354190368733154,0.5231342242777373,0
GPC,0.029446285895118135,0.0713096610646397,0.16556018012802823,0.16838212111814893,0.46729720393148355,0.37926910664506336,2
GPN,0.14055636071534625,0.11674384327138154,0.20806706000180222,0.19865481074800334,0.871214239972045,0.4612258170958346,0
GRMN,0.10880598592830498,0.10325603431023017,0.17411253850601002,0.07059521337195943,0.7932436596179724,0.35922475554287775,0
GS,0.01584926137346132,0.12267491225929511,0.2059719452020625,0.38910338201877087,0.3660449839684479,0.5176904309820451,2
GWW,0.061693986344636464,0.21396494166965063,0.26722171317029075,0.3473380858090193,0.54832010573824,0.4802331057812008,2
HAL,0.005223957843080523,0.2190745843495534,0.31545832496669346,0.6989359182153517,0.08758908977417121,0.6106169884756092,1
HAS,0.06574586001059404,0.20351690872375255,0.22410184868574565,0.24981137656209856,0.5173054535035755,0.5211154067343245,2
HBAN,0.02902961196330686,0.11777843010496303,0.23638989714911327,0.24414354039554637,0.4718240645343147,0.465239750266309,2
HCA,0.09656820324052809,0.13869024013138748,0.22848125894791174,0.1682023507795104,0.7146216180203306,0.3910775413470775,0
HD,0.08401518831742522,0.06154329136737466,0.1576223367365239,0.19611285496101832,0.7204894252517178,0.369411931557334,0
HES,0.02393051047665981,0.2837832077224676,0.36829974466431414,0.49089010739164307,0.44090164505657936,0.5979970346583781,1
HIG,0.03906187205642464,0.045232925275097924,0.15492195149172108,0.24129846177934194,0.5635486500083,0.3198460830500184,2
HII,0.04505028816818557,0.14133614638234338,0.2283020089594929,0.2915037013702834,0.5480618854528443,0.407631520456289,2
HLT,0.09608699755363681,0.09740999373696735,0.1918801573590946,0.21010705535194496,0.7529768038959608,0.4243317861747298,0
HOLX,0.03396825262238426,0.10217962832453198,0.20946294170080207,0.16316587218133172,0.5035508752167744,0.3876263591355297,2
HON,0.07018279253105125,0.032719357885846095,0.12769643511539652,0.1560434060984328,0.7483983374892296,0.4529099048981938,0
HPE,0.046131095610437545,0.18875562376101357,0.255909159639806,0.3070776228289436,0.47031738842223325,0.5738640332470719,2
HPQ,0.0810177251714608,0.16956665027203804,0.22635676410375347,0.33279891500340947,0.5544914428207995,0.5269734431254769,2
HRL,0.038178082844069344,0.07175906188748943,0.18003434296058698,0.1205621595411312,0.5360886914157851,0.2011333587565877,0
HSIC,0.02058619465722028,0.12824622044285655,0.23459759885384948,0.27045570091747306,0.40790415829731974,0.3031044600688405,2
HST,0.02391275164189613,0.09525424037633068,0.21633844826090212,0.21205261040256634,0.40466068122932475,0.38442187767690295,2
HSY,0.0639320470264784,0.04385577132972082,0.15062154422268886,0.15315514236825906,0.6402488983757437,0.10728133166426507,0
HUM,0.08559259642263464,0.12846727002720876,0.23803874613745793,0.293286711226085,0.6870688938393298,0.3387978759370459,0
HWM,0.06734583549537076,0.26591454439689577,0.3010633549962317,0.44606305037099947,0.567164393429979,0.5081253909198697,1
IBM,0.01053860729333933,0.08980641461841832,0.1361028209559669,0.3207413704214242,0.30708114255705365,0.4533399538631067,2
ICE,0.0714034593054568,0.05109575958444487,0.1564614212535891,0.052124048817901586,0.7348872423384107,0.24775382730757128,0
IDXX,0.12802278313926965,0.16682608740855637,0.2564951453639406,0.25613182940316304,0.7348667604126611,0.47773551456972807,0
IEX,0.09019190799095886,0.07636610542404468,0.17462829968629096,0.17834949167570124,0.7719157748484899,0.4732107934805284,0
